"filename", "language", "JSON", "JavaScript", "Properties", "TypeScript", "JSON with Comments", "YAML", "TypeScript JSX", "PostCSS", "XML", "HTML", "Markdown", "comment", "blank", "total"
"d:\react-projects\the-wild-oasis-ts\src\pages\Account.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 4, 27
"d:\react-projects\the-wild-oasis-ts\src\pages\Booking.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 2, 6
"d:\react-projects\the-wild-oasis-ts\src\pages\Bookings.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 1, 4, 35
"d:\react-projects\the-wild-oasis-ts\src\pages\Cabins.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 5, 35
"d:\react-projects\the-wild-oasis-ts\src\pages\Checkin.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 2, 6
"d:\react-projects\the-wild-oasis-ts\src\pages\Dashboard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 2, 11
"d:\react-projects\the-wild-oasis-ts\src\pages\Login.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 2, 12
"d:\react-projects\the-wild-oasis-ts\src\pages\PageNotFound.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"d:\react-projects\the-wild-oasis-ts\src\pages\Settings.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 2, 13
"d:\react-projects\the-wild-oasis-ts\src\pages\Users.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 4, 34
"d:\react-projects\the-wild-oasis-ts\src\services\apiAuth.ts", "TypeScript", 0, 0, 0, 106, 0, 0, 0, 0, 0, 0, 0, 3, 28, 137
"d:\react-projects\the-wild-oasis-ts\src\services\apiBookings.ts", "TypeScript", 0, 0, 0, 97, 0, 0, 0, 0, 0, 0, 0, 0, 20, 117
"d:\react-projects\the-wild-oasis-ts\src\services\apiCabins.ts", "TypeScript", 0, 0, 0, 76, 0, 0, 0, 0, 0, 0, 0, 8, 22, 106
"d:\react-projects\the-wild-oasis-ts\src\services\apiSettings.ts", "TypeScript", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 7, 34
"d:\react-projects\the-wild-oasis-ts\src\services\supabase.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16
"d:\react-projects\the-wild-oasis-ts\src\styles\styles.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 166, 0, 0, 0, 0, 9, 175
"d:\react-projects\the-wild-oasis-ts\src\ui\AppLayout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 2, 18
"d:\react-projects\the-wild-oasis-ts\src\ui\ClientPagination.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 98, 0, 0, 0, 0, 0, 5, 103
"d:\react-projects\the-wild-oasis-ts\src\ui\DarkModeToggle.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 2, 11
"d:\react-projects\the-wild-oasis-ts\src\ui\DataItem.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 3, 20
"d:\react-projects\the-wild-oasis-ts\src\ui\DeleteConfirmationDialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 3, 57
"d:\react-projects\the-wild-oasis-ts\src\ui\Error.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"d:\react-projects\the-wild-oasis-ts\src\ui\FilterDropdown.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 8, 73
"d:\react-projects\the-wild-oasis-ts\src\ui\FilterInput.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 7, 47
"d:\react-projects\the-wild-oasis-ts\src\ui\Flag.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"d:\react-projects\the-wild-oasis-ts\src\ui\FormRow.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 3, 39
"d:\react-projects\the-wild-oasis-ts\src\ui\Header.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 2, 12
"d:\react-projects\the-wild-oasis-ts\src\ui\HeaderMenu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 108, 0, 0, 0, 0, 0, 4, 112
"d:\react-projects\the-wild-oasis-ts\src\ui\Logo.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 1, 12
"d:\react-projects\the-wild-oasis-ts\src\ui\MainNav.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 87, 0, 0, 0, 0, 0, 2, 89
"d:\react-projects\the-wild-oasis-ts\src\ui\ProtectedRoute.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 5, 28
"d:\react-projects\the-wild-oasis-ts\src\ui\ServerPagination.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 101, 0, 0, 0, 0, 0, 8, 109
"d:\react-projects\the-wild-oasis-ts\src\ui\Sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 2, 12
"d:\react-projects\the-wild-oasis-ts\src\ui\SortableHeader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 7, 37
"d:\react-projects\the-wild-oasis-ts\src\ui\Spinner.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"d:\react-projects\the-wild-oasis-ts\src\ui\SpinnerMini.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 2, 11
"d:\react-projects\the-wild-oasis-ts\src\ui\TableSkeleton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 2, 23
"d:\react-projects\the-wild-oasis-ts\src\utils\helpers.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"d:\react-projects\the-wild-oasis-ts\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"d:\react-projects\the-wild-oasis-ts\tsconfig.app.json", "JSON", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 31
"d:\react-projects\the-wild-oasis-ts\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 1, 14
"d:\react-projects\the-wild-oasis-ts\tsconfig.node.json", "JSON", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 25
"d:\react-projects\the-wild-oasis-ts\vite.config.ts", "TypeScript", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18
"Total", "-", 130, 45, 2, 1128, 13, 3952, 4543, 166, 1, 20, 45, 52, 1417, 11514
